"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"BDE28";"BDE47";"BDE99";"BDE100";"BDE153";"BDE154";"HBCD"
"2";"C2018/02088-02099";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.7";"<0.15";"4.33";"9.46";"3.58";"0.929";"1.36";"0.364"
"3";"C2018/02100-02111";"SFA";"Salvelinus";"Abiskojaure";"Muscle";"1.67";"<0.15";"5.67";"12.6";"5.54";"1.17";"1.86";"0.634"
"4";"C2018/00067-00078";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.74";"0.188";"7.79";"1.69";"3.23";"0.815";"3.05";"0.277"
"5";"C2018/00079-00090";"SFA";"Esox lucius";"Bolmen";"Muscle";"0.83";"0.318";"9.15";"1.17";"3.64";"0.769";"3.89";"0.641"
"6";"C2018/05015-05026";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.78";"0.309";"4.97";"2.75";"1.81";"0.721";"2.96";"0.426"
"7";"C2018/05027-05038";"SFA";"Perca fluviatilis";"Horsan";"Muscle";"0.86";"0.203";"2.96";"1.77";"0.945";"0.328";"1.52";"0.431"
"8";"C2018/01157-01168";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.69";"0.193";"<0.96";"0.655";"<0.15";"0.212";"<0.15";"0.326"
"9";"C2018/01169-01180";"SFA";"Perca fluviatilis";"Krankesjon";"Muscle";"0.8";"<0.13";"<0.83";"<0.41";"<0.13";"0.219";"0.158";"<0.25"
"10";"C2018/00465-00476";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.72";"<0.14";"<0.92";"1.17";"0.378";"0.444";"0.969";"0.394"
"11";"C2018/00477-00488";"SFA";"Perca fluviatilis";"Skargolen";"Muscle";"0.72";"<0.14";"<0.92";"1.27";"0.25";"0.368";"0.632";"0.568"
"12";"C2018/01400-00411";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.68";"<0.15";"1.52";"1.49";"0.884";"0.526";"1.34";"0.844"
"13";"C2018/01412-01423";"SFA";"Perca fluviatilis";"Stensjon";"Muscle";"0.58";"<0.17";"2.21";"2.7";"0.943";"0.807";"2";"2"
