"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Cu";"As";"Cd";"Pb";"Zn";"Ag";"Hg";"Ni";"Cr"
"132";"1999";"P1999/03911";"SU";"Clupea harengus";"Fladen";NA;"11.5";NA;"0.269";"0.038";"78.2";NA;NA;"0.09";"0.24"
"133";"1999";"P1999/03905";"SU";"Clupea harengus";"Fladen";NA;"10.6";NA;"0.331";"0.03";"83.1";NA;NA;"0.04";"0.14"
"134";"1999";"P1999/03908";"SU";"Clupea harengus";"Fladen";NA;"9.3";NA;"0.244";"0.036";"74.2";NA;NA;"0.05";"0.15"
"135";"1999";"P1999/03601";"SU";"Gadus morhua";"Fladen";NA;"15";NA;"0.209";"0.105";"84.4";NA;NA;"0.37";"0.36"
"136";"1999";"P1999/03606";"SU";"Gadus morhua";"Fladen";NA;"13.6";NA;"0.046";"0.022";"42.8";NA;NA;"0.06";"0.3"
"137";"1999";"P1999/03607";"SU";"Gadus morhua";"Fladen";NA;"20.4";NA;"0.065";"0.021";"51.8";NA;NA;"0.06";"0.26"
"138";"1999";"P1999/03904";"SU";"Clupea harengus";"Fladen";NA;"11.2";NA;"0.313";"0.049";"94.6";NA;NA;"0.06";"0.17"
"139";"1999";"P1999/03909";"SU";"Clupea harengus";"Fladen";NA;"13.8";NA;"0.595";"0.064";"111";NA;NA;"0.05";"0.13"
"140";"1999";"P1999/03906";"SU";"Clupea harengus";"Fladen";NA;NA;NA;"0.59";"0.062";"78.9";NA;NA;"0.06";"0.22"
"141";"1999";"P1999/03907";"SU";"Clupea harengus";"Fladen";NA;"9.7";NA;"0.716";"0.06";"101";NA;NA;"0.17";"0.18"
"142";"1999";"P1999/03903";"SU";"Clupea harengus";"Fladen";NA;"9.72";NA;"0.729";"0.072";"82.4";NA;NA;"0.09";"0.15"
"143";"1999";"P1999/03902";"SU";"Clupea harengus";"Fladen";NA;"11.3";NA;"0.318";"0.035";"92.4";NA;NA;"0.05";"0.04"
"144";"1999";"P1999/04720";"SU";"Clupea harengus";"Landsort";NA;"8.91";NA;"1.77";"0.077";"93.7";NA;NA;"0.11";"0.13"
"145";"1999";"P1999/04722";"SU";"Clupea harengus";"Landsort";NA;"7.91";NA;"1.18";"0.07";"84.5";NA;NA;"0.1";"0.14"
"146";"1999";"P1999/04715";"SU";"Clupea harengus";"Landsort";NA;"8.07";NA;"0.458";"0.048";"87.9";NA;NA;"0.05";"0.21"
"147";"1999";"P1999/04723";"SU";"Clupea harengus";"Landsort";NA;"7.78";NA;"1.37";"0.044";"87";NA;NA;"0.11";"0.19"
"148";"1999";"P1999/04721";"SU";"Clupea harengus";"Landsort";NA;"11";NA;"2.31";"0.077";"88.7";NA;NA;"0.1";"0.2"
"149";"1999";"P1999/04716";"SU";"Clupea harengus";"Landsort";NA;"11.2";NA;"0.897";"0.103";"94.1";NA;NA;"0.11";"0.3"
"150";"1999";"P1999/04717";"SU";"Clupea harengus";"Landsort";NA;"9.63";NA;"1.84";"0.061";"84.4";NA;NA;"0.15";"0.12"
"151";"1999";"P1999/04714";"SU";"Clupea harengus";"Landsort";NA;"9.25";NA;"0.781";"0.055";"80";NA;NA;"0.09";"0.13"
"152";"1999";"P1999/04719";"SU";"Clupea harengus";"Landsort";NA;"33.9";NA;"5.77";"0.102";"125";NA;NA;"0.27";"0.18"
"153";"1999";"P1999/04718";"SU";"Clupea harengus";"Landsort";NA;"6.9";NA;"1.8";"0.042";"73.2";NA;NA;"0.09";"0.17"
"154";"2007";"C2007/06125";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"10.3";NA;NA
"155";"2007";"C2007/06128";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"13.9";NA;NA
"156";"2007";"C2007/06129";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"9.67";NA;NA
"157";"2007";"C2007/06127";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"14.9";NA;NA
"158";"2007";"C2007/06126";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"10.1";NA;NA
"159";"2007";"C2007/06130";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"8.65";NA;NA
"160";"2007";"C2007/06124";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"9.93";NA;NA
"161";"2007";"C2007/06138";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"8.61";NA;NA
"162";"2007";"C2007/06132";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"8.94";NA;NA
"163";"2007";"C2007/06133";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"11.9";NA;NA
"164";"2007";"C2007/06131";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"9.69";NA;NA
"165";"2007";"C2007/06134";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"8.88";NA;NA
